group_id,promotion_id,parent_group_id,group_type,label,n_students
1,1,,PROMO,INFO-L1,120
2,1,1,TD,INFO-L1-G1,30
3,1,2,TP,INFO-L1-G1.1,15
4,1,2,TP,INFO-L1-G1.2,15
5,1,1,TD,INFO-L1-G2,30
6,1,5,TP,INFO-L1-G2.1,15
7,1,5,TP,INFO-L1-G2.2,15
8,1,1,TD,INFO-L1-G3,30
9,1,8,TP,INFO-L1-G3.1,15
10,1,8,TP,INFO-L1-G3.2,15
11,1,1,TD,INFO-L1-G4,30
12,1,11,TP,INFO-L1-G4.1,15
13,1,11,TP,INFO-L1-G4.2,15
14,2,,PROMO,INFO-L2,90
15,2,14,TD,INFO-L2-G1,30
16,2,15,TP,INFO-L2-G1.1,15
17,2,15,TP,INFO-L2-G1.2,15
18,2,14,TD,INFO-L2-G2,30
19,2,18,TP,INFO-L2-G2.1,15
20,2,18,TP,INFO-L2-G2.2,15
21,2,14,TD,INFO-L2-G3,30
22,2,21,TP,INFO-L2-G3.1,15
23,2,21,TP,INFO-L2-G3.2,15
24,3,,PROMO,INFO-L3,70
25,3,24,TD,INFO-L3-G1,35
26,3,25,TP,INFO-L3-G1.1,18
27,3,25,TP,INFO-L3-G1.2,17
28,3,24,TD,INFO-L3-G2,35
29,3,28,TP,INFO-L3-G2.1,18
30,3,28,TP,INFO-L3-G2.2,17
31,4,,PROMO,MATH-L1,60
32,4,31,TD,MATH-L1-G1,30
33,4,32,TP,MATH-L1-G1.1,15
34,4,32,TP,MATH-L1-G1.2,15
35,4,31,TD,MATH-L1-G2,30
36,4,35,TP,MATH-L1-G2.1,15
37,4,35,TP,MATH-L1-G2.2,15
38,5,,PROMO,MATH-L2,45
39,5,38,TD,MATH-L2-G1,23
40,5,39,TP,MATH-L2-G1.1,12
41,5,39,TP,MATH-L2-G1.2,11
42,5,38,TD,MATH-L2-G2,22
43,5,42,TP,MATH-L2-G2.1,11
44,5,42,TP,MATH-L2-G2.2,11
45,6,,PROMO,MINFO-M1,40
46,6,45,TD,MINFO-M1-G1,20
47,6,46,TP,MINFO-M1-G1.1,10
48,6,46,TP,MINFO-M1-G1.2,10
49,6,45,TD,MINFO-M1-G2,20
50,6,49,TP,MINFO-M1-G2.1,10
51,6,49,TP,MINFO-M1-G2.2,10
