session_id,course_id,group_id,teacher_id,session_type,duration_periods,occurrences_per_week,required_room_type,is_locked
S0001,1,1,T001,CM,1,1,Amphi,0
S0002,1,2,T019,TD,1,1,Salle,0
S0003,1,5,T020,TD,1,1,Salle,0
S0004,1,8,T021,TD,1,1,Salle,0
S0005,1,11,T022,TD,1,1,Salle,0
S0006,1,3,T023,TP,2,1,Lab_Info,0
S0007,1,4,T024,TP,2,1,Lab_Info,0
S0008,1,6,T025,TP,2,1,Lab_Info,0
S0009,1,7,T026,TP,2,1,Lab_Info,0
S0010,1,9,T027,TP,2,1,Lab_Info,0
S0011,1,10,T028,TP,2,1,Lab_Info,0
S0012,1,12,T029,TP,2,1,Lab_Info,0
S0013,1,13,T030,TP,2,1,Lab_Info,0
S0014,2,1,T002,CM,1,1,Amphi,0
S0015,2,2,T031,TD,1,1,Salle,0
S0016,2,5,T032,TD,1,1,Salle,0
S0017,2,8,T033,TD,1,1,Salle,0
S0018,2,11,T034,TD,1,1,Salle,0
S0019,2,3,T035,TP,2,1,Lab_Info,0
S0020,2,4,T036,TP,2,1,Lab_Info,0
S0021,2,6,T037,TP,2,1,Lab_Info,0
S0022,2,7,T038,TP,2,1,Lab_Info,0
S0023,2,9,T039,TP,2,1,Lab_Info,0
S0024,2,10,T040,TP,2,1,Lab_Info,0
S0025,2,12,T041,TP,2,1,Lab_Info,0
S0026,2,13,T042,TP,2,1,Lab_Info,0
S0027,3,1,T003,CM,1,1,Amphi,0
S0028,3,2,T043,TD,1,1,Salle,0
S0029,3,5,T044,TD,1,1,Salle,0
S0030,3,8,T019,TD,1,1,Salle,0
S0031,3,11,T020,TD,1,1,Salle,0
S0032,3,3,T021,TP,2,1,Lab_Info,0
S0033,3,4,T022,TP,2,1,Lab_Info,0
S0034,3,6,T031,TP,2,1,Lab_Info,0
S0035,3,7,T032,TP,2,1,Lab_Info,0
S0036,3,9,T033,TP,2,1,Lab_Info,0
S0037,3,10,T034,TP,2,1,Lab_Info,0
S0038,3,12,T043,TP,2,1,Lab_Info,0
S0039,3,13,T044,TP,2,1,Lab_Info,0
S0040,4,1,T004,CM,1,1,Amphi,0
S0041,4,2,T019,TD,1,1,Salle,0
S0042,4,5,T020,TD,1,1,Salle,0
