slot_id,day_index,day_name,period_index,period_label,start_time,end_time,is_open
0,0,Lundi,0,P1,08:30,10:00,1
1,0,Lundi,1,P2,10:10,11:40,1
2,0,Lundi,2,P3,11:50,13:20,1
3,0,Lundi,3,P4,14:00,15:30,1
4,0,Lundi,4,P5,15:40,17:10,1
5,1,Mardi,0,P1,08:30,10:00,1
6,1,Mardi,1,P2,10:10,11:40,1
7,1,Mardi,2,P3,11:50,13:20,1
8,1,Mardi,3,P4,14:00,15:30,1
9,1,Mardi,4,P5,15:40,17:10,1
10,2,Mercredi,0,P1,08:30,10:00,1
11,2,Mercredi,1,P2,10:10,11:40,1
12,2,Mercredi,2,P3,11:50,13:20,1
13,2,Mercredi,3,P4,14:00,15:30,1
14,2,Mercredi,4,P5,15:40,17:10,1
15,3,Jeudi,0,P1,08:30,10:00,1
16,3,Jeudi,1,P2,10:10,11:40,1
17,3,Jeudi,2,P3,11:50,13:20,1
18,3,Jeudi,3,P4,14:00,15:30,1
19,3,Jeudi,4,P5,15:40,17:10,1
20,4,Vendredi,0,P1,08:30,10:00,1
21,4,Vendredi,1,P2,10:10,11:40,1
22,4,Vendredi,2,P3,11:50,13:20,1
23,4,Vendredi,3,P4,14:00,15:30,1
24,4,Vendredi,4,P5,15:40,17:10,1
25,5,Samedi,0,P1,08:30,10:00,1
26,5,Samedi,1,P2,10:10,11:40,1
27,5,Samedi,2,P3,11:50,13:20,1
28,5,Samedi,3,P4,14:00,15:30,0
29,5,Samedi,4,P5,15:40,17:10,0
