availability_id,teacher_id,slot_id,is_available,semester,academic_year,source
1,T001,13,0,S2,2025-2026,SYNTHETIC
2,T001,14,0,S2,2025-2026,SYNTHETIC
3,T002,13,0,S2,2025-2026,SYNTHETIC
4,T002,14,0,S2,2025-2026,SYNTHETIC
5,T002,15,0,S2,2025-2026,SYNTHETIC
6,T002,16,0,S2,2025-2026,SYNTHETIC
7,T002,17,0,S2,2025-2026,SYNTHETIC
8,T003,10,0,S2,2025-2026,SYNTHETIC
9,T003,11,0,S2,2025-2026,SYNTHETIC
10,T003,12,0,S2,2025-2026,SYNTHETIC
11,T004,3,0,S2,2025-2026,SYNTHETIC
12,T004,4,0,S2,2025-2026,SYNTHETIC
13,T004,5,0,S2,2025-2026,SYNTHETIC
14,T004,6,0,S2,2025-2026,SYNTHETIC
15,T004,7,0,S2,2025-2026,SYNTHETIC
16,T005,5,0,S2,2025-2026,SYNTHETIC
17,T005,6,0,S2,2025-2026,SYNTHETIC
18,T005,7,0,S2,2025-2026,SYNTHETIC
19,T005,25,0,S2,2025-2026,SYNTHETIC
20,T005,26,0,S2,2025-2026,SYNTHETIC
21,T005,27,0,S2,2025-2026,SYNTHETIC
22,T006,20,0,S2,2025-2026,SYNTHETIC
23,T006,21,0,S2,2025-2026,SYNTHETIC
24,T006,22,0,S2,2025-2026,SYNTHETIC
25,T007,3,0,S2,2025-2026,SYNTHETIC
26,T007,4,0,S2,2025-2026,SYNTHETIC
27,T008,0,0,S2,2025-2026,SYNTHETIC
28,T008,1,0,S2,2025-2026,SYNTHETIC
29,T008,2,0,S2,2025-2026,SYNTHETIC
30,T009,24,0,S2,2025-2026,SYNTHETIC
31,T009,23,0,S2,2025-2026,SYNTHETIC
32,T010,3,0,S2,2025-2026,SYNTHETIC
33,T010,4,0,S2,2025-2026,SYNTHETIC
34,T010,5,0,S2,2025-2026,SYNTHETIC
35,T010,6,0,S2,2025-2026,SYNTHETIC
36,T010,7,0,S2,2025-2026,SYNTHETIC
37,T011,0,0,S2,2025-2026,SYNTHETIC
38,T011,1,0,S2,2025-2026,SYNTHETIC
39,T011,2,0,S2,2025-2026,SYNTHETIC
40,T012,5,0,S2,2025-2026,SYNTHETIC
41,T012,6,0,S2,2025-2026,SYNTHETIC
42,T012,7,0,S2,2025-2026,SYNTHETIC
43,T012,10,0,S2,2025-2026,SYNTHETIC
44,T012,11,0,S2,2025-2026,SYNTHETIC
45,T012,12,0,S2,2025-2026,SYNTHETIC
46,T013,10,0,S2,2025-2026,SYNTHETIC
47,T013,11,0,S2,2025-2026,SYNTHETIC
48,T013,12,0,S2,2025-2026,SYNTHETIC
49,T014,0,0,S2,2025-2026,SYNTHETIC
50,T014,1,0,S2,2025-2026,SYNTHETIC
51,T014,2,0,S2,2025-2026,SYNTHETIC
52,T015,20,0,S2,2025-2026,SYNTHETIC
53,T015,21,0,S2,2025-2026,SYNTHETIC
54,T015,22,0,S2,2025-2026,SYNTHETIC
55,T015,25,0,S2,2025-2026,SYNTHETIC
56,T015,26,0,S2,2025-2026,SYNTHETIC
57,T015,27,0,S2,2025-2026,SYNTHETIC
58,T016,18,0,S2,2025-2026,SYNTHETIC
59,T016,19,0,S2,2025-2026,SYNTHETIC
60,T017,24,0,S2,2025-2026,SYNTHETIC
61,T017,13,0,S2,2025-2026,SYNTHETIC
62,T017,14,0,S2,2025-2026,SYNTHETIC
63,T017,23,0,S2,2025-2026,SYNTHETIC
64,T018,13,0,S2,2025-2026,SYNTHETIC
65,T018,14,0,S2,2025-2026,SYNTHETIC
66,T019,3,0,S2,2025-2026,SYNTHETIC
67,T019,4,0,S2,2025-2026,SYNTHETIC
68,T019,20,0,S2,2025-2026,SYNTHETIC
69,T019,21,0,S2,2025-2026,SYNTHETIC
70,T019,22,0,S2,2025-2026,SYNTHETIC
71,T020,24,0,S2,2025-2026,SYNTHETIC
72,T020,23,0,S2,2025-2026,SYNTHETIC
73,T022,8,0,S2,2025-2026,SYNTHETIC
74,T022,9,0,S2,2025-2026,SYNTHETIC
75,T022,13,0,S2,2025-2026,SYNTHETIC
76,T022,14,0,S2,2025-2026,SYNTHETIC
77,T023,3,0,S2,2025-2026,SYNTHETIC
78,T023,4,0,S2,2025-2026,SYNTHETIC
79,T023,20,0,S2,2025-2026,SYNTHETIC
80,T023,21,0,S2,2025-2026,SYNTHETIC
81,T023,22,0,S2,2025-2026,SYNTHETIC
82,T025,0,0,S2,2025-2026,SYNTHETIC
83,T025,1,0,S2,2025-2026,SYNTHETIC
84,T025,2,0,S2,2025-2026,SYNTHETIC
85,T026,15,0,S2,2025-2026,SYNTHETIC
86,T026,16,0,S2,2025-2026,SYNTHETIC
87,T026,17,0,S2,2025-2026,SYNTHETIC
88,T026,23,0,S2,2025-2026,SYNTHETIC
89,T026,24,0,S2,2025-2026,SYNTHETIC
90,T027,15,0,S2,2025-2026,SYNTHETIC
91,T027,16,0,S2,2025-2026,SYNTHETIC
92,T027,17,0,S2,2025-2026,SYNTHETIC
93,T027,18,0,S2,2025-2026,SYNTHETIC
94,T027,19,0,S2,2025-2026,SYNTHETIC
95,T028,3,0,S2,2025-2026,SYNTHETIC
96,T028,4,0,S2,2025-2026,SYNTHETIC
97,T028,10,0,S2,2025-2026,SYNTHETIC
98,T028,11,0,S2,2025-2026,SYNTHETIC
99,T028,12,0,S2,2025-2026,SYNTHETIC
100,T029,10,0,S2,2025-2026,SYNTHETIC
101,T029,11,0,S2,2025-2026,SYNTHETIC
102,T029,12,0,S2,2025-2026,SYNTHETIC
103,T030,5,0,S2,2025-2026,SYNTHETIC
104,T030,6,0,S2,2025-2026,SYNTHETIC
105,T030,7,0,S2,2025-2026,SYNTHETIC
106,T031,15,0,S2,2025-2026,SYNTHETIC
107,T031,16,0,S2,2025-2026,SYNTHETIC
108,T031,17,0,S2,2025-2026,SYNTHETIC
109,T031,18,0,S2,2025-2026,SYNTHETIC
110,T031,19,0,S2,2025-2026,SYNTHETIC
111,T032,18,0,S2,2025-2026,SYNTHETIC
112,T032,19,0,S2,2025-2026,SYNTHETIC
113,T033,18,0,S2,2025-2026,SYNTHETIC
114,T033,19,0,S2,2025-2026,SYNTHETIC
115,T033,25,0,S2,2025-2026,SYNTHETIC
116,T033,26,0,S2,2025-2026,SYNTHETIC
117,T033,27,0,S2,2025-2026,SYNTHETIC
118,T034,8,0,S2,2025-2026,SYNTHETIC
119,T034,9,0,S2,2025-2026,SYNTHETIC
120,T034,25,0,S2,2025-2026,SYNTHETIC
121,T034,26,0,S2,2025-2026,SYNTHETIC
122,T034,27,0,S2,2025-2026,SYNTHETIC
123,T035,10,0,S2,2025-2026,SYNTHETIC
124,T035,11,0,S2,2025-2026,SYNTHETIC
125,T035,12,0,S2,2025-2026,SYNTHETIC
126,T036,0,0,S2,2025-2026,SYNTHETIC
127,T036,1,0,S2,2025-2026,SYNTHETIC
128,T036,2,0,S2,2025-2026,SYNTHETIC
129,T036,8,0,S2,2025-2026,SYNTHETIC
130,T036,9,0,S2,2025-2026,SYNTHETIC
131,T037,0,0,S2,2025-2026,SYNTHETIC
132,T037,1,0,S2,2025-2026,SYNTHETIC
133,T037,2,0,S2,2025-2026,SYNTHETIC
134,T038,10,0,S2,2025-2026,SYNTHETIC
135,T038,11,0,S2,2025-2026,SYNTHETIC
136,T038,12,0,S2,2025-2026,SYNTHETIC
137,T038,23,0,S2,2025-2026,SYNTHETIC
138,T038,24,0,S2,2025-2026,SYNTHETIC
139,T040,16,0,S2,2025-2026,SYNTHETIC
140,T040,17,0,S2,2025-2026,SYNTHETIC
141,T040,15,0,S2,2025-2026,SYNTHETIC
142,T041,0,0,S2,2025-2026,SYNTHETIC
143,T041,1,0,S2,2025-2026,SYNTHETIC
144,T041,2,0,S2,2025-2026,SYNTHETIC
145,T042,0,0,S2,2025-2026,SYNTHETIC
146,T042,1,0,S2,2025-2026,SYNTHETIC
147,T042,2,0,S2,2025-2026,SYNTHETIC
148,T042,23,0,S2,2025-2026,SYNTHETIC
149,T042,24,0,S2,2025-2026,SYNTHETIC
150,T043,18,0,S2,2025-2026,SYNTHETIC
151,T043,19,0,S2,2025-2026,SYNTHETIC
152,T044,10,0,S2,2025-2026,SYNTHETIC
153,T044,11,0,S2,2025-2026,SYNTHETIC
154,T044,12,0,S2,2025-2026,SYNTHETIC
155,T044,20,0,S2,2025-2026,SYNTHETIC
156,T044,21,0,S2,2025-2026,SYNTHETIC
157,T044,22,0,S2,2025-2026,SYNTHETIC
